PIN_ETH_CFG_RGMII_2ND_PINMUX,2
PIN_ETH_CFG_RMII_1ST_PINMUX,16
PIN_ETH_CFG_RMII_2ND_PINMUX,32
PIN_ETH_CFG_PHY_ROUTE_ETH0,256
PIN_ETH_CFG_PHY_ROUTE_ETH1,512
PIN_ETH_CFG_EXTPHYCLK_1ST_PINMUX,4096
PIN_ETH_CFG_EXTPHYCLK_2ND_PINMUX,8192
PIN_ETH_CFG_PHY_1ST_NO_MDIO,65536
PIN_ETH_CFG_PHY_2ND_NO_MDIO,131072
,
PIN_MISC_CFG_NONE,0
PIN_MISC_CFG_CPU_ICE,1
PIN_MISC_CFG_VGA_HS,2
PIN_MISC_CFG_VGA_VS,4
PIN_MISC_CFG_BMC,8
PIN_MISC_CFG_RTC_CAL_OUT,16
PIN_MISC_CFG_DAC_RAMP_TP,32
PIN_MISC_CFG_HDMI_HOTPLUG,64
PIN_MISC_CFG_DSP_ICE_1ST_PINMUX,65536
PIN_MISC_CFG_DSP_ICE_2ND_PINMUX,131072
PIN_MISC_CFG_ETH_LED_1ST_PINMUX,1048576
PIN_MISC_CFG_ETH_LED_2ND_PINMUX,2097152
PIN_MISC_CFG_SATA_LED_1ST_PINMUX,16777216
PIN_MISC_CFG_SATA_LED_2ND_PINMUX,33554432
,
PIN_PWM_CFG_NONE,0
PIN_PWM_CFG_CH0_1ST_PINMUX,1
PIN_PWM_CFG_CH1_1ST_PINMUX,16
PIN_PWM_CFG_CH2_1ST_PINMUX,256
,
PIN_VCAPINT_CFG_NONE,0
