GPIO,pin,DRIVINGSINK,PULLDOWN,DIRECTION,OUTPUT
,GPIO_1_22,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_23,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_24,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_25,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_26,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_27,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_28,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_29,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_30,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_31,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_0,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_1,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_2,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_3,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_4,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_5,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_6,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_7,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_8,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_9,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_10,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_11,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_12,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_13,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_14,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_15,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_16,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_17,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_18,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_19,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_20,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_21,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_22,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_23,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_24,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_25,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_26,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_27,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_28,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_29,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_30,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_2_31,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
