,PGPIO25,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO26,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO27,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO28,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO29,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO30,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO31,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO32,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO33,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO34,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO35,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO36,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO37,PAD_DRIVINGSINK_LEVEL_1,PAD_NONE,GPIO_DIR_INPUT,LOW
,PGPIO38,PAD_DRIVINGSINK_LEVEL_1,PAD_NONE,GPIO_DIR_INPUT,LOW
,PGPIO39,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO40,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO41,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO42,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO43,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,PGPIO44,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,,,,,
DGPIO,pin,DRIVINGSINK,PULLDOWN,DIRECTION,OUTPUT
,DGPIO0,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO1,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO2,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO3,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO4,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO5,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO6,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO7,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
