PIN_LCD_CFG_LCD310_RGB888_1ST_PINMUX,1,B_GPIO0[]|B_GPIO1[]|B_GPIO2[]|B_GPIO3[]|B_GPIO4[]|B_GPIO5[]|B_GPIO6[]|B_GPIO7[]|B_GPIO8[]|B_GPIO9[]|B_GPIO10[]|B_GPIO11[]|B_GPIO12[]|B_GPIO13[]|B_GPIO14[]|B_GPIO15[]|B_GPIO16[]|P_GPIO12[]|P_GPIO13[]|P_GPIO14[]|P_GPIO15[]|P_GPIO16[]|P_GPIO17[]|P_GPIO18[]|P_GPIO26[]|P_GPIO32[]|P_GPIO40[],,
PIN_LCD_CFG_LCD310_BT1120_1ST_PINMUX,2,B_GPIO0[]|B_GPIO1[]|B_GPIO2[]|B_GPIO3[]|B_GPIO4[]|B_GPIO5[]|B_GPIO6[]|B_GPIO7[]|B_GPIO8[]|B_GPIO9[]|B_GPIO10[]|B_GPIO11[]|B_GPIO12[]|B_GPIO13[]|B_GPIO14[]|B_GPIO15[]|B_GPIO16[],,
PIN_LCD_CFG_LCD210_BT1120_1ST_PINMUX,16,B_GPIO0[]|B_GPIO1[]|B_GPIO2[]|B_GPIO3[]|B_GPIO4[]|B_GPIO5[]|B_GPIO6[]|B_GPIO7[]|B_GPIO8[]|B_GPIO9[]|B_GPIO10[]|B_GPIO11[]|B_GPIO12[]|B_GPIO13[]|B_GPIO14[]|B_GPIO15[]|B_GPIO16[],,
PIN_LCD_CFG_LCD310L_RGB888_1ST_PINMUX,256,B_GPIO0[]|B_GPIO1[]|B_GPIO2[]|B_GPIO3[]|B_GPIO4[]|B_GPIO5[]|B_GPIO6[]|B_GPIO7[]|B_GPIO8[]|B_GPIO9[]|B_GPIO10[]|B_GPIO11[]|B_GPIO12[]|B_GPIO13[]|B_GPIO14[]|B_GPIO15[]|B_GPIO16[]|P_GPIO12[]|P_GPIO13[]|P_GPIO14[]|P_GPIO15[]|P_GPIO16[]|P_GPIO17[]|P_GPIO18[]|P_GPIO26[]|P_GPIO32[]|P_GPIO40[],,
PIN_LCD_CFG_LCD310L_BT1120_1ST_PINMUX,512,B_GPIO0[]|B_GPIO1[]|B_GPIO2[]|B_GPIO3[]|B_GPIO4[]|B_GPIO5[]|B_GPIO6[]|B_GPIO7[]|B_GPIO8[]|B_GPIO9[]|B_GPIO10[]|B_GPIO11[]|B_GPIO12[]|B_GPIO13[]|B_GPIO14[]|B_GPIO15[]|B_GPIO16[],,
PIN_LCD_CFG_LCD310_DE_PINMUX,4096,P_GPIO41[],,
,,,,
PIN_REMOTE_CFG_NONE,0,,,
PIN_REMOTE_CFG_1ST_PINMUX,1,J_GPIO0[],,
PIN_REMOTE_CFG_2ND_PINMUX,2,J_GPIO1[],,
